Animal1,Animal2,weights
alligator,cod,0.139381617
alligator,cow,0.343626043
alligator,coyote,0.429882077
alligator,crab,0.435752083
alligator,crocodile,0.600692549
alligator,crow,0.304140586
alligator,cuttlefish,0.322485893
alligator,deer,0.330428042
alligator,dingo,0.36318679
alligator,dog,0.456104664
alligator,dolphin,0.443081119
alligator,donkey,0.312202418
alligator,dove,0.216971409
alligator,dragonfly,0.32150174
alligator,duck,0.425887098
alligator,eagle,0.352516591
alligator,eel,0.505163208
alligator,elephant,0.467819463
alligator,elk,0.332943828
alligator,emu,0.151291626
alligator,falcon,0.178578795
alligator,finch,0.150236719
alligator,flamingo,0.409494899
alligator,flea,0.362790619
alligator,fly,0.220806299
alligator,fox,0.246143307
alligator,frog,0.46217089
alligator,gazelle,0.225329047
alligator,gecko,0.255063076
alligator,gibbon,0.151492086
alligator,giraffe,0.411447271
alligator,goat,0.372712476
alligator,goldfish,0.355888467
alligator,goose,0.333796035
alligator,gorilla,0.436275787
alligator,grasshopper,0.26060355
alligator,hamster,0.331339399
alligator,hare,0.178946785
alligator,hawk,0.281196143
alligator,hedgehog,0.278433694
alligator,horse,0.299317406
alligator,hyena,0.449264374
alligator,jaguar,0.2525092
alligator,jellyfish,0.347569326
alligator,kangaroo,0.317918312
alligator,kiwi,0.176202591
alligator,koala,0.369253535
alligator,ladybug,0.276317149
alligator,lemur,0.272643789
alligator,lemming,0.255230494
alligator,leopard,0.334612482
alligator,lion,0.312783146
alligator,lizard,0.49428803
alligator,lobster,0.468885916
alligator,mammoth,0.355945824
alligator,mink,0.385025726
alligator,mole,0.274104418
alligator,mongoose,0.309610441
alligator,monkey,0.440010619
alligator,moose,0.360269549
alligator,moth,0.191514728
alligator,mouse,0.32180532
alligator,mule,0.267351321
alligator,nightingale,0.074900777
alligator,nymph,0.230806097
alligator,octopus,0.448243922
alligator,okapi,0.268640147
alligator,ostrich,0.4420889
alligator,otter,0.367480117
alligator,owl,0.381196759
alligator,oyster,0.35156195
alligator,panda,0.333506816
alligator,panther,0.304660226
alligator,parakeet,0.190532579
alligator,parrot,0.375463447
alligator,peacock,0.267722925
alligator,pelican,0.397768292
alligator,penguin,0.200020397
alligator,pig,0.47676055
alligator,pigeon,0.319655754
alligator,piranha,0.379719865
alligator,platypus,0.453100967
alligator,pony,0.258754076
alligator,poodle,0.349190248
alligator,prawn,0.427632332
alligator,puma,0.196948522
alligator,python,0.215144716
alligator,rabbit,0.413955657
alligator,racoon,0.282730043
alligator,rat,0.412233438
alligator,rattlesnake,0.515716317
alligator,raven,0.243749098
alligator,reindeer,0.32711477
alligator,rhinoceros,0.347639857
alligator,robin,0.011347821
alligator,rooster,0.329141524
alligator,salamander,0.366519276
alligator,salmon,0.27548834
alligator,scallop,0.250537715
alligator,scorpion,0.397481604
alligator,seal,0.181113387
alligator,shark,0.491511242
alligator,sheep,0.227746159
alligator,shrimp,0.414512747
alligator,skunk,0.448981762
alligator,snail,0.296830908
alligator,snake,0.501959379
alligator,sparrow,0.276072817
alligator,spider,0.284274388
alligator,squid,0.381101353
alligator,squirrel,0.43590748
alligator,starfish,0.31912099
alligator,stingray,0.395974011
alligator,stork,0.249290993
alligator,swallow,0.274883043
alligator,swan,0.205441916
alligator,tapir,0.409556179
alligator,termite,0.285573042
alligator,tarantula,0.403555404
alligator,tiger,0.411538506
alligator,toad,0.436124538
alligator,tortoise,0.388058905
alligator,toucan,0.412271796
alligator,trout,0.287247792
alligator,turkey,0.053705141
alligator,turtle,0.55309485
alligator,walrus,0.394703502
alligator,wasp,0.270034087
alligator,weasel,0.393784859
alligator,whale,0.386679641
alligator,wolf,0.318043899
alligator,wombat,0.377067044
alligator,woodpecker,0.259897932
alligator,yak,0.223160984
alligator,zebra,0.38517143
ant,albatross,0.222309553
ant,alligator,0.338004175
ant,ant,1
ant,antelope,0.156941413
ant,baboon,0.314904942
ant,badger,0.201975426
ant,barracuda,0.251814978
ant,bat,0.259581757
ant,bear,0.241528438
ant,beaver,0.182369964
ant,bee,0.464551761
ant,beetle,0.455316335
ant,bison,0.190935429
ant,blackbird,0.204001185
ant,boa,0.192497364
ant,bonobo,0.266724826
ant,buffalo,0.028867534
ant,bumblebee,0.359865765
ant,butterfly,0.296726147
ant,caiman,0.222689298
ant,camel,0.248136087
ant,canary,0.089602037
ant,carp,0.084308911
ant,cat,0.328977979
ant,caterpillar,0.341988718
ant,catfish,0.243168107
ant,centipede,0.378818218
ant,chameleon,0.333092436
ant,chicken,0.274707265
ant,chimpanzee,0.215000616
ant,chipmunk,0.24846189
ant,cockroach,0.469551262
ant,cod,0.054141069
ant,cow,0.297916918
ant,coyote,0.297894932
ant,crab,0.347995522
ant,crocodile,0.310985339
ant,crow,0.207492162
ant,cuttlefish,0.238797544
ant,deer,0.146543801
ant,dingo,0.304365982
ant,dog,0.350994806
ant,dolphin,0.197242941
ant,donkey,0.223848035
ant,dove,0.135234072
ant,dragonfly,0.397757865
ant,duck,0.248228847
ant,eagle,0.248293034
ant,eel,0.280943763
ant,elephant,0.353063549
ant,elk,0.148415471
ant,emu,0.133376612
ant,falcon,0.243202286
ant,finch,0.149568709
ant,flamingo,0.193534303
ant,flea,0.27515837
ant,fly,0.202631263
ant,fox,0.23076551
ant,frog,0.314934541
ant,gazelle,0.161900414
ant,gecko,0.254843046
ant,gibbon,0.085713325
ant,giraffe,0.256895559
ant,goat,0.267603543
ant,goldfish,0.231040601
ant,goose,0.206678494
ant,gorilla,0.331851281
ant,grasshopper,0.374471924
ant,hamster,0.314103067
ant,hare,0.163398953
ant,hawk,0.289968746
ant,hedgehog,0.298145375
ant,horse,0.196997589
ant,hyena,0.291836878
ant,jaguar,0.240911275
ant,jellyfish,0.353658804
ant,kangaroo,0.275890596
ant,kiwi,0.256774424
ant,koala,0.269991316
ant,ladybug,0.286554568
ant,lemur,0.170379642
ant,lemming,0.185789646
ant,leopard,0.185129683
ant,lion,0.214136997
ant,lizard,0.335703845
ant,lobster,0.288457051
ant,mammoth,0.213368543
ant,mink,0.235912032
ant,mole,0.274567928
ant,mongoose,0.277836958
ant,monkey,0.390705431
ant,moose,0.184477483
ant,moth,0.259603487
