[run number],threshold,person1,[step],words-said
45,0.3,animals_twitter.csv,42,[monkey donkey weasel tiger shark hamster bear snake rattlesnake chipmunk cat woodpecker goat beaver toad grasshopper butterfly zebra starfish blackbird sparrow squirrel crab owl rat spider catfish lizard wombat crow elk pelican poodle stingray coyote flea moose salmon mammoth rooster racoon squid tiger]
34,0.1,animals_wikipedia.csv,28,[starfish beaver scorpion giraffe platypus pig rabbit spider cuttlefish lobster reindeer hare woodpecker elephant koala termite gorilla salmon caterpillar stingray walrus skunk pigeon eagle badger otter toad monkey pigeon]
48,0.3,animals_wikipedia.csv,16,[bison elk eagle elephant tapir antelope rattlesnake catfish dolphin dingo giraffe alligator baboon squirrel goat otter dolphin]
37,0.1,animals_gigaword.csv,41,[leopard sparrow duck ant peacock bee toad penguin hare antelope pigeon rhinoceros gibbon chicken snake mouse nightingale squirrel piranha lobster dingo rabbit crocodile weasel mongoose tarantula puma bonobo bumblebee kiwi catfish crow monkey shark rat elephant tapir boa walrus goat owl kiwi]
50,0.2,animals_gigaword.csv,15,[mouse bumblebee goldfish dove donkey tarantula sparrow grasshopper rabbit rhinoceros baboon penguin caterpillar mongoose weasel rabbit]
51,0.3,animals_gigaword.csv,22,[squirrel otter mouse cat turtle salmon reindeer chicken goose rhinoceros owl walrus dragonfly wasp badger scorpion monkey coyote hamster cockroach toad beaver monkey]
40,0.1,animals_google.csv,11,[chipmunk crab rattlesnake nymph otter mongoose dog fly ostrich swan termite mongoose]
53,0.2,animals_google.csv,8,[dragonfly hare cockroach duck bee raven chicken crocodile chicken]
54,0.3,animals_google.csv,19,[goat dove whale turtle elephant monkey nymph duck rabbit goose weasel mongoose pig blackbird wombat badger hyena ostrich walrus badger]
41,0.2,animals_google.csv,20,[parrot tiger beetle piranha albatross crow spider toucan gorilla coyote mole bear eel cockroach robin dolphin toad trout oyster kiwi dolphin]
42,0.3,animals_google.csv,4,[toad crocodile hyena raven hyena]
43,0.1,animals_twitter.csv,18,[hamster hawk rattlesnake chicken hare toad crow rooster goldfish baboon jellyfish bumblebee lemming flamingo reindeer cuttlefish poodle toucan flamingo]
46,0.1,animals_wikipedia.csv,19,[mole chicken starfish fly duck elephant eagle rhinoceros tarantula panther sheep rattlesnake scorpion pig shark carp okapi python beetle okapi]
59,0.2,animals_wikipedia.csv,22,[raven yak crocodile lizard snake beaver elk catfish frog termite pigeon elephant antelope squirrel hedgehog platypus hare toad pig python lobster scorpion raven]
60,0.3,animals_wikipedia.csv,9,[coyote weasel dog toucan eagle elk zebra crocodile tiger coyote]
47,0.2,animals_wikipedia.csv,37,[leopard okapi alligator tortoise dingo dragonfly python caiman snake pig donkey crocodile termite platypus moose weasel stingray canary bumblebee octopus tiger butterfly lobster shrimp tarantula eel dove stork elephant hawk shark monkey lizard koala skunk zebra gorilla hawk]
49,0.1,animals_gigaword.csv,30,[crocodile chipmunk donkey moose crab zebra tarantula tiger swallow stingray gorilla scallop cuttlefish shrimp goat eel bumblebee reindeer nightingale camel horse frog tapir lemming panda ostrich stork rhinoceros monkey goose tiger]
63,0.3,animals_gigaword.csv,8,[tarantula crab parrot flea spider donkey squirrel wasp tarantula]
